Location,Date
"Smithtown, NY, United States, 11787", 2015-01-08 13:40:11.025715+00:00
"Fountain Valley, CA, United States, ", 2015-01-09 13:08:36.264958+00:00
"Palm Bay, FL, United States, 32905", 2015-01-08 21:11:23.727886+00:00
"Richmond, Virginia, United States, 23220", 2015-01-09 02:57:42.259016+00:00
"Queens, NY, USA, NY, United States, ", 2015-01-09 14:24:35.542286+00:00
"Pittsburgh, PA, United States, 15211", 2015-01-08 14:12:41.394997+00:00
"Redding, CA, United States, ", 2015-01-08 14:14:29.375272+00:00
"Coeur d Alene, Idaho, United States,  83835", 2015-01-09 16:11:47.859309+00:00
"Santa Fe, NM, USA, 87506", 2015-01-09 19:15:34.615883+00:00
"Riverdale, Maryland, United States, 20737", 2015-01-09 19:37:09.109872+00:00
"Cedar Park, TX, United States, 78613", 2015-01-09 13:10:20.220530+00:00
"Guyton, Georgia, United States, ", 2015-01-08 14:13:18.702959+00:00
"Norman, OK, United States, ", 2015-01-09 14:26:21.869863+00:00
"Dade City, FL, United States, 33523", 2015-01-09 16:11:48.144168+00:00
"Charlotte, NC, USA, 28269", 2015-01-09 14:28:55.780700+00:00
"Wheat Ridge, CO, United States, ", 2015-01-08 14:17:13.278809+00:00
"South Boston, MA, United States, 02127", 2015-01-08 14:20:00.677540+00:00
"Atlanta, GA, United States, 30309", 2015-01-08 14:19:57.382929+00:00
"Frederick, MD, USA, 21702", 2015-01-09 13:15:47.335023+00:00
"Coquitlam, BC, Canada, v3k2a8", 2015-01-09 15:23:14.643475+00:00
"Annapolis, MD, USA, 21403", 2015-01-09 14:31:10.797514+00:00
"Fort Myers, Florida, USA, 33908", 2015-01-09 15:52:37.417991+00:00
"silver spring, MD - Maryland, United States, 20910", 2015-01-09 15:53:32.910167+00:00
"Atlanta, GA, United States, 30306", 2015-01-09 16:05:13.120878+00:00
"Seattle, WA, USA, 98112", 2015-01-09 16:18:39.659654+00:00
"Croton on Hudson, NY, USA, 10520", 2015-01-09 19:45:38.592535+00:00
"Boston, MA, United States, 02478", 2015-01-08 14:22:30.209186+00:00
"West Haven, CT, United States, 06516", 2015-01-08 14:25:13.971711+00:00
"San Ramon, California, United States, 94582", 2015-01-08 14:36:53.139780+00:00
"Albuquerque, NM, United States, ", 2015-01-09 13:21:24.369356+00:00
"Saint Petersburg, FL, USA, 33716", 2015-01-09 13:21:59.525541+00:00
"Verona, Virginia, United States, ", 2015-01-09 14:32:23.124793+00:00
"Maddiston, Scotland, United Kingdom, ", 2015-01-09 14:31:41.470996+00:00
"Knoxville, TN, USA, 37922", 2015-01-09 14:35:06.419862+00:00
"Scottsdale, Arizona, United States, 85260", 2015-01-09 15:23:41.802440+00:00
"Encinitas, California, United States, 92024", 2015-01-08 14:40:39.502534+00:00
"Redondo Beach, CA, United States, ", 2015-01-08 05:35:40.584004+00:00
"Murray, KY, United States, ", 2015-01-08 14:42:14.559696+00:00
"Boulder, CO, United States, ", 2015-01-08 14:51:14.905117+00:00
"Burlington, ON, Canada, L7M 3J1", 2015-01-09 13:23:08.047906+00:00
"Green Bay, wi, usa, 54303", 2015-01-09 16:29:07.130715+00:00
"Somerville, Massachusetts, United States, 02143", 2015-01-09 15:53:47.726780+00:00
"Palatka, Florida, United States, 32177", 2015-01-09 19:55:57.414265+00:00
"St Cloud, MN, United States, 56377", 2015-01-08 14:54:36.331443+00:00
"Kentfield, CA, United States, ", 2015-01-08 15:11:09.313723+00:00
"Westerminster, Colorado, United States, 80031", 2015-01-08 15:11:49.846631+00:00
"Valatie, NY, United States, ", 2015-01-08 15:41:27.813800+00:00
"Oakwood, OH, United States, 45419", 2015-01-08 16:10:59.397567+00:00
"Gardena, CA, United States, 90247", 2015-01-08 16:23:42.421160+00:00
"Boulder, CO, United States, 80303", 2015-01-09 11:36:38.594363+00:00
"Porter, Texas, United States, 77365", 2015-01-08 21:35:34.244975+00:00
"Seattle, WA, USA, 98146", 2015-01-09 14:39:24.766443+00:00
"Cazadero, California, United States, 95421", 2015-01-08 15:20:12.613852+00:00
"Roma, Lazio, Italia, 00146", 2015-01-08 15:21:47.239621+00:00
"Gilbert, AZ, United States, ", 2015-01-08 15:22:12.862662+00:00
"San Francisco, CA, United States, 94118", 2015-01-09 20:55:49.062484+00:00
"Milan, Lombardy, Italy, ", 2015-01-09 13:25:12.208569+00:00
"Marietta, Georgia, United States, 30064", 2015-01-09 15:55:08.896066+00:00
"College Place, WA, USA, 99324", 2015-01-09 19:56:36.331578+00:00
"Flower Mound, Texas, United States, 75022", 2015-01-08 15:39:18.208160+00:00
"Amesbury, MA, United States, 01913", 2015-01-09 13:25:08.379845+00:00
"Marysville, WA, United States, ", 2015-01-09 14:36:29.878234+00:00
"Catonsville, MD, United States, ", 2015-01-09 15:06:40.191149+00:00
"Lakeside, CA, United States, 92040", 2015-01-09 20:09:30.081782+00:00
"Santa Clarita, CA, United States, 91355", 2015-01-08 15:50:41.130493+00:00
"Tyler, TX, United States, ", 2015-01-08 15:44:18.059210+00:00
"Mill Valley, CA, United States, 94941", 2015-01-08 15:53:53.148061+00:00
"Fort Collins, Colorado, United States, 80521", 2015-01-08 15:57:42.124320+00:00
"Shady Side, Maryland, United States, 20764", 2015-01-08 16:26:53.938188+00:00
"Fallbrook, California, United States, 92028", 2015-01-08 16:15:22.239798+00:00
"Woodside, CA, USA, 94062", 2015-01-08 17:48:33.200416+00:00
"New York, NY, United States, ", 2015-01-08 18:28:25.403754+00:00
"Chapel Hill, North Carolina, USA, 27516", 2015-01-08 21:48:04.533307+00:00
